name,carrier,included_internal_coordinate
Dersalloch,wind_onshore,True
Point_Wind_/_Beinn_Ghrideag_Farm,wind_onshore,True
Muirhall_South,wind_onshore,True
Double_Arches_Quarry_Wind_Turbine,wind_onshore,True
Lochend_Wind_Farm,wind_onshore,True
Hallburn_Farm_,wind_onshore,True
Coal_Clough_Wind_Farm_Repowering,wind_onshore,True
Shepham_Lane_,wind_onshore,True
Sober_Hill_Wind_Farm_,wind_onshore,True
Srondoire_Community_Wind_Farm,wind_onshore,True
Achlachan_Wind_Farm,wind_onshore,True
A'Chruach_Phase_1,wind_onshore,True
"Aikengall_II,_Wester_Dod_Community_Wind_Farm",wind_onshore,True
Alveston_Wind_Park,wind_onshore,True
Auchrobert_Wind_Farm,wind_onshore,True
Boardinghouse_Wind_Farm,wind_onshore,True
Bogenlea_Farm,wind_onshore,True
BROWNIELEYS___3_WIND_TURBINES,wind_onshore,True
Cairnborrow_,wind_onshore,True
Crook_Hill_Calderdale_MBC_1_of_2,wind_onshore,True
Deuchries,wind_onshore,True
Dungavel_Hill,wind_onshore,True
Earlseat,wind_onshore,True
Easter_Tulloch_Wind_Farm_Tullo_Extension,wind_onshore,True
Galawhistle,wind_onshore,True
Gayton_Le_Marsh_Wind_Farm,wind_onshore,True
GlaxoSmithKline_Wind_Project_Turbine_4,wind_onshore,True
Goole_Fields,wind_onshore,True
Greenvale_AP_Wind_Turbine_,wind_onshore,True
Hill_of_Glaschyle_Wind_Farm,wind_onshore,True
Kilgallioch_wind_farm,wind_onshore,True
Lambs_Hill,wind_onshore,True
Lochluichart_Extension,wind_onshore,True
M1_Wind_Farm,wind_onshore,True
New_Rides_Wind_Farm,wind_onshore,True
Noble_Foods,wind_onshore,True
Ovenden_Moor_Repower_,wind_onshore,True
Pant_y_wal_extension,wind_onshore,True
Park_Spring_Wind_Farm,wind_onshore,True
Brotherton_formerly_Paul_Matthew_Hill_wind_turbines,wind_onshore,True
Pen_Bryn_Oer_Wind_Farm,wind_onshore,True
Ramsey_Wind_Farm_Extension,wind_onshore,True
Red_Gap_Moor_Wind_Farm,wind_onshore,True
Todmorden_Moor__,wind_onshore,True
Tom_Nan_Clach,wind_onshore,True
Tullo_Wind_Farm_South_Ext.,wind_onshore,True
Watford_Lodge,wind_onshore,True
Wathegar_2_Wind_Farm,wind_onshore,True
West_Browncastle,wind_onshore,True
Brochloch_Rig_formerly_Windy_Standard_II,wind_onshore,True
Withernwick_extension,wind_onshore,True
Pogbie_Wind_Farm_1,wind_onshore,True
Barlockhart_Moor,wind_onshore,True
Minnygap,wind_onshore,True
Middle_Muir_Wind_Farm,wind_onshore,True
Sanquhar_Community_Windfarm,wind_onshore,True
Balmurrie_Fell_Wind_Farm,wind_onshore,True
Burnfoot_Hill_Extension,wind_onshore,True
Airies_Farm,wind_onshore,True
Craig_Wind_Farm_Extension,wind_onshore,True
Lawrence_Landfill,wind_onshore,True
Plascow_wind_cluster_,wind_onshore,True
Maesgwyn_Wind_Farm___extension,wind_onshore,True
Halifax_Farm,wind_onshore,True
Norton_Fields_Farm,wind_onshore,True
Carscreugh_Renewable_Energy_Park,wind_onshore,True
Whiteside_Hill,wind_onshore,True
North_Rhins,wind_onshore,True
Jacksbank_Wind_Farm_Glenbervie,wind_onshore,True
New_Albion_Wind_Farm,wind_onshore,True
Sunnyside_wind_cluster,wind_onshore,True
Keith_Hill_,wind_onshore,True
Minsca,wind_onshore,True
Artfield_Fell,wind_onshore,True
Wether_Hill,wind_onshore,True
Dalswinton,wind_onshore,True
Craig_Wind_Farm,wind_onshore,True
Beinn_an_Tuirc_Phase_2,wind_onshore,True
Aikengall,wind_onshore,True
Brochloch_Rig_1_formerly_Windy_Standard,wind_onshore,True
Hawton_Wind_Farm,wind_onshore,True
Beck_Burn_,wind_onshore,True
Clocaenog_Forest_Wind_Farm,wind_onshore,True
Hoprigshiels_Community_Wind_Farm,wind_onshore,True
Black_Law_Extension___1b,wind_onshore,True
Glen_App,wind_onshore,True
Pen_Y_Cymoedd,wind_onshore,True
Stronelairg_Wind_Farm,wind_onshore,True
M1_J18_Wind_Turbines,wind_onshore,True
Tullymurdoch_Wind_Farm,wind_onshore,True
Penmanshiel_Wind_Farm,wind_onshore,True
Kinegar_Quarry_,wind_onshore,True
St._Breock_Re_Power_,wind_onshore,True
Carraig_Gheal,wind_onshore,True
Langhope_Rig,wind_onshore,True
Clashindarroch_,wind_onshore,True
Galsworthy_Wind_Park,wind_onshore,True
Strathy_North,wind_onshore,True
Mid_Hill___Phase_II,wind_onshore,True
Monan_Hill_Wind_Turbines,wind_onshore,True
French_Farm,wind_onshore,True
Glenchamber_Wind_Farm,wind_onshore,True
Bhlaraidh_previously_Balmacaan,wind_onshore,True
Moor_House_Wind_Farm_,wind_onshore,True
Kype_Muir_Wind_Farm,wind_onshore,True
Llynfi_Afan_Renewable_Energy_Park,wind_onshore,True
Assel_Valley_Wind_Farm,wind_onshore,True
Bad_a_Cheo_Wind_Farm,wind_onshore,True
Fraisthorpe_Wind_Farm,wind_onshore,True
