bmUnit,name_acquisition_date_registry,fuelType_acquisition_date_registry,bmUnitType,productionOrConsumptionFlag
T_VKNGW-3,Viking Energy Windfarm BMU-3,WIND,T,P
T_VKNGW-4,Viking Energy Windfarm BMU-4,WIND,T,P
T_WBUGT-1,West Burton GT 01,OCGT,T,P
T_WBUGT-4,West Burton GT 04,OCGT,T,P
T_WBUPS-1,West Burton Unit 01,COAL,T,P
T_WBUPS-2,West Burton Unit 02,COAL,T,P
T_WBUPS-3,West Burton Unit 03,COAL,T,P
T_WBUPS-4,West Burton Unit 04,COAL,T,P
T_WBURB-1,West Burton B Unit 1,CCGT,T,P
T_WBURB-2,West Burton B Unit 2,CCGT,T,P
T_WBURB-3,West Burton B Unit 3,CCGT,T,P
T_WBURB-41,West Burton B Battery,OTHER,T,P
T_WBURB-43,West Burton B Battery,OTHER,T,P
T_WDNSO-1,West of Duddon Sands Offshore1,WIND,T,P
T_WDNSO-2,West of Duddon Sands Offshore2,WIND,T,P
T_WDRGW-1,Windy Rig Wind Farm,WIND,T,P
T_WHIHW-1,Whiteside Hill WF,WIND,T,P
T_WHILW-1,T_WHILW-1,WIND,T,P
T_WHILW-2,Whitelee Extension,WIND,T,P
T_WILCT-1,ETOL - Wilton Site,BIOMASS,T,P
T_WISTW-2,Brockloch Rig 2 WF Exp A,WIND,T,P
T_WLNYO-2,WALNEY_2,WIND,T,P
T_WLNYO-3,WALNEY_3,WIND,T,P
T_WLNYO-4,WALNEY_4,WIND,T,P
T_WLNYW-1,WALNEY_1,WIND,T,P
T_WTGTB-1,Whitegate,,T,P
T_WTMSO-1,WESTERMOST_ROUGH,WIND,T,P
