row,family,hour_0based,uid,multiplier
10852,thermal_upper,108,113_CT_2,-6.217248937900877e-15
11522,transition,52,113_CT_3,4.884981308350689e-14
11564,transition,59,113_CT_3,-1.2073780043891023e-13
11570,transition,60,113_CT_3,4.884981308350689e-14
11578,minimum_up,61,113_CT_3,-1.2073780043891023e-13
11582,transition,62,113_CT_3,1.2073780043891023e-13
11588,transition,63,113_CT_3,1.5877669288553347e-13
11634,thermal_upper,71,113_CT_3,-1.7763568394002505e-15
11642,transition,72,113_CT_3,9.769962616701378e-14
11725,thermal_lower,86,113_CT_3,-0.4699069182739324
11732,transition,87,113_CT_3,-10.337952202026512
11738,transition,88,113_CT_3,-10.337952202026512
11740,minimum_up,88,113_CT_3,-10.33795220202656
11750,transition,90,113_CT_3,1.560591020494645e-13
11756,transition,91,113_CT_3,1.560591020494645e-13
11780,transition,95,113_CT_3,2.0762650596904038e-13
11786,transition,96,113_CT_3,4.884981308350689e-14
11800,minimum_up,98,113_CT_3,-1.2073780043891023e-13
11821,thermal_lower,102,113_CT_3,-6.217248937900877e-15
11822,transition,102,113_CT_3,1.3677947663381929e-13
11868,thermal_upper,110,113_CT_3,-3.94661941525709e-15
11880,thermal_upper,112,113_CT_3,-1.7763568394002505e-15
12512,thermal_upper,50,113_CT_4,-8.881784197001252e-16
12686,thermal_upper,79,113_CT_4,-1.3322676295501878e-15
12808,transition,99,113_CT_4,-4.884981308350689e-14
12812,thermal_upper,100,113_CT_4,-8.881784197001252e-16
12814,transition,100,113_CT_4,-4.884981308350689e-14
12822,minimum_up,101,113_CT_4,-4.884981308350689e-14
